measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,United Kingdom,Male,1 to 4,All causes,Number,2019,248.2970792,272.1457135,226.8376766
Deaths,United Kingdom,Female,1 to 4,All causes,Number,2019,210.3178315,223.4821233,198.2675984
Deaths,United Kingdom,Male,1 to 4,All causes,Rate,2019,15.53896501,17.03146381,14.19598946
Deaths,United Kingdom,Female,1 to 4,All causes,Rate,2019,13.84036012,14.70666108,13.04737189
Deaths,United Kingdom,Male,5 to 9,All causes,Number,2019,162.1642775,168.0659727,156.6217761
Deaths,United Kingdom,Female,5 to 9,All causes,Number,2019,123.1195743,124.4772578,121.9094737
Deaths,United Kingdom,Male,5 to 9,All causes,Rate,2019,7.961411819,8.251153966,7.689304195
Deaths,United Kingdom,Female,5 to 9,All causes,Rate,2019,6.339726505,6.409636933,6.277415481
Deaths,United Kingdom,Male,10 to 14,All causes,Number,2019,196.1515422,200.4035732,191.8337687
Deaths,United Kingdom,Female,10 to 14,All causes,Number,2019,149.8791573,151.3590492,148.4070331
Deaths,United Kingdom,Male,10 to 14,All causes,Rate,2019,9.651100778,9.860310347,9.438656526
Deaths,United Kingdom,Female,10 to 14,All causes,Rate,2019,7.728936412,7.805251159,7.653022225
Deaths,United Kingdom,Male,15 to 19,All causes,Number,2019,593.9045975,603.6114769,584.35206
Deaths,United Kingdom,Female,15 to 19,All causes,Number,2019,296.3990776,299.5121986,293.3388267
Deaths,United Kingdom,Male,15 to 19,All causes,Rate,2019,31.46550792,31.97978563,30.95940737
Deaths,United Kingdom,Female,15 to 19,All causes,Rate,2019,16.4546862,16.62751208,16.28479543
Deaths,United Kingdom,Male,20 to 24,All causes,Number,2019,1127.113506,1141.988642,1113.237944
Deaths,United Kingdom,Female,20 to 24,All causes,Number,2019,442.347265,449.7240359,435.3547931
Deaths,United Kingdom,Male,20 to 24,All causes,Rate,2019,53.99983136,54.71249679,53.33505533
Deaths,United Kingdom,Female,20 to 24,All causes,Rate,2019,21.81037058,22.17408958,21.46559982
Deaths,United Kingdom,Male,25 to 29,All causes,Number,2019,1492.538609,1508.427501,1477.710196
Deaths,United Kingdom,Female,25 to 29,All causes,Number,2019,640.4912641,652.4469043,629.1901592
Deaths,United Kingdom,Male,25 to 29,All causes,Rate,2019,63.75960509,64.43836103,63.12615162
Deaths,United Kingdom,Female,25 to 29,All causes,Rate,2019,27.77357698,28.29200855,27.28352797
Deaths,United Kingdom,Male,30 to 34,All causes,Number,2019,2000.74068,2022.781868,1980.054507
Deaths,United Kingdom,Female,30 to 34,All causes,Number,2019,1027.581754,1045.888572,1010.356064
Deaths,United Kingdom,Male,30 to 34,All causes,Rate,2019,82.76046399,83.67219581,81.90478224
Deaths,United Kingdom,Female,30 to 34,All causes,Rate,2019,42.94443717,43.70951107,42.22454547
Deaths,United Kingdom,Male,35 to 39,All causes,Number,2019,2596.318504,2630.215186,2564.529982
Deaths,United Kingdom,Female,35 to 39,All causes,Number,2019,1504.781868,1531.319665,1479.905225
Deaths,United Kingdom,Male,35 to 39,All causes,Rate,2019,112.1882028,113.6528952,110.8146051
Deaths,United Kingdom,Female,35 to 39,All causes,Rate,2019,65.58031853,66.73686969,64.49616259
Deaths,United Kingdom,Male,40 to 44,All causes,Number,2019,3491.931362,3544.943488,3441.855218
